"","sample","phenSumTIC","sapSumTIC","species_code","logPhen","logSap","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"255","N13_1703",5202777.256502,5611484.723833,"N13",15.4647031287664,15.5403258991382,0.481103312085734,0.518896687914266,41.18571429,0,0,1,0.481103312085734,0.518896687914266
"256","N13_1899",11708592.811185,12218644.558093,"N13",16.2758335585139,16.318473585596,0.489341608079609,0.510658391920391,41.18571429,0,0,1,0.489341608079609,0.510658391920391
"257","N14_1286_MS_NEG",1844728.472491,0,"N14",14.4278426552447,-Inf,1,0,38.12,0,0,1,1,0
"258","N14_1287_MS_NEG",1503405.961822,42210.68866,"N14",14.223243733277,10.6504287537347,0.972690066034915,0.0273099339650855,38.12,0,0,1,0.972690066034915,0.0273099339650855
"259","N14_1295_MS_NEG",886191.022816,3836.863678,"N14",13.694687807721,8.25241056133851,0.995689052291255,0.00431094770874448,38.12,0,0,1,0.995689052291255,0.00431094770874448
"260","N14_1444",30643823.087231,273318.28833,"N14",17.2379416694404,12.5183922863623,0.99115965201925,0.00884034798074991,38.12,0,0,1,0.99115965201925,0.00884034798074991
"261","N14_1445",28944755.725124,258203.1232,"N14",17.1808995961825,12.4615018533711,0.991158323218511,0.00884167678148883,38.12,0,0,1,0.991158323218511,0.00884167678148883
"262","N15_1795",6501529.845396,3465.70517,"N15",15.687548068003,8.1506714031837,0.999467224052183,0.000532775947817282,28.6,0,0,1,0.999467224052183,0.000532775947817282
"263","N15_1820",11725333.067484,91570.502196,"N15",16.2772622785016,11.424864470372,0.992250888597335,0.007749111402665,28.6,0,0,1,0.992250888597335,0.007749111402665
"264","N15_1835",12622908.835434,114890.215271,"N15",16.3510238826091,11.6517323015596,0.99098037150581,0.00901962849418959,28.6,0,0,1,0.99098037150581,0.00901962849418959
"265","N15_1854",8945210.531297,64970.268739,"N15",16.0066288108466,11.0816850402213,0.992789238065152,0.00721076193484823,28.6,0,0,1,0.992789238065152,0.00721076193484823
"266","N15_1855",8758040.215573,60899.746384,"N15",15.9854827182001,11.016984289223,0.993094436899819,0.00690556310018079,28.6,0,0,1,0.993094436899819,0.00690556310018079
"267","N16_1770",9000884.463234,20828.631043,"N16",16.0128334041646,9.94408381164406,0.997691277607108,0.00230872239289153,28.81666667,0.0533666666666667,0.15625609992619,0.84374390007381,0.841795929637844,0.00194797043596603
"268","N16_1771",5537887.244463,14129.359925,"N16",15.5271236221704,9.55601017564334,0.9974550940799,0.00254490592009991,28.81666667,0.0533666666666667,0.15625609992619,0.84374390007381,0.841596651227464,0.00214724884634602
"269","N16_1772",5737677.990184,21444.934219,"N16",15.562565155124,9.97324372951797,0.996276354142723,0.00372364585727661,28.81666667,0.0533666666666667,0.15625609992619,0.84374390007381,0.840602096595698,0.00314180347811225
